Code,ArabicDescription,EnglishDescription,UOM,Price,Section
201060007,توريد المواد وعمل حماية لقواعد الأعمدة والأبراج في مجاري السيول والأودية,"Supplying of all required materials and construction of protection for poles /towers foundations ( including supplying of concrete, back filling materialsrocks and required tools .. ie. ) at flood path and valley as per company requirements and specifications and calculated by M2 for the concrete side walls",M2,665.0,عام
201060008,توريد وتركيب ماسورة حديدية بقطر خارجي 600 مم لحماية قاعدة العمود,Supplying and embed of steel  pipe (  600 mm OD x 9.5 mm thickness x 3m height from pole base) to protect the pole in the coastal / high wet areas  including supplying of paint  and  painting of the pipe as per company requirements,EA,1359.0,الشبكات الهوائية
201060009,توريد وتركيب ماسورة حديدية بقطر خارجي 1000 مم لحماية قاعدة العمود,Supplying and embed of steel  pipe ( 1000 mm OD x 9.5 mm thickness x 3m height from pole base) to protect the pole in the coastal / high wet areas including supplying of paint  and  painting of the pipe as per company requirements,EA,1934.0,الشبكات الهوائية
202010101,هيكلة عمود ج.منخفض وسطي/زاوية خفيفة/نهاية,Framing of LV intermediate / light angle / medium angle / terminal pole,ASM,85.0,الشبكات الهوائية
202010102,هيكلة عمود ج.منخفض زاوية كبيره/متفرع ثلاث أو اربع اتجاهات,Framing of LV heavy angle / tap off (3 ways / 4 ways) pole,ASM,107.0,الشبكات الهوائية
202010103,هيكلة لكيبل ج.منخفض مجدول د.مفردة مشتركة على عمود ج.متوسط,Framing for LV  quadruplex cable for composite single circuit ( MV and LV ) on any size MV pole  including installation of related accessories and clamps,ASM,86.0,الشبكات الهوائية
202010201,هيكلةعمود ج.متوسط.د.مفردة. زاوية وسطية/خفيفة,"(Framing of MV single circuit, intermediate, light angle pole (post insulator.",ASM,179.0,الشبكات الهوائية
202010202,هيكلةعمودج.متوسط.د.مفردة زاوية متوسطة/كبيرة /عمود شد/زاوية90/عمود تفريعة,"Framing of MV single circuit, medium / heavy angle, section , heavy  angle (at 90 degrees)/ branch T-off (tap) pole (disc/ suspension and post insulators)",ASM,233.0,الشبكات الهوائية
202010203,هيكلةعمودج.متوسط.د.مفردة عمود بداية/نهاية,"Framing of MV single circuit, terminal  pole (disc/ suspension insulators).",ASM,179.0,الشبكات الهوائية
202010204,هيكلة عمود ج.متوسط د.مزدوجة زاوية وسطية/ خفيفة,"Framing of MV double circuit, intermediate/ light angle pole (post insulator)",ASM,259.0,الشبكات الهوائية
202010205,هيكلة عمود ج.متوسط.د.مزدوجة زاوية متوسطة /كبيرة/عمود شد/زاوية 90/عمود تفريعة,"Framing of MV double circuit, medium / heavy angle, section, heavy  angle (at 90 degrees)/ branch T-off (tap) pole (disc/ suspension and post insulators",ASM,296.0,الشبكات الهوائية
202010206,هيكلة عمود ج.متوسط.د.مزدوجة عمود بداية/نهاية,"Framing of MV double circuit, terminal  pole (disc/ suspension insulators",ASM,227.0,الشبكات الهوائية
202010207,تركيب مباعد بين موصلات الخطوط الهوائية,Installation of MV spacer for OH line,EA,110.0,أعمال الكابلات
202010208,تركيب عازل جانبي إضافي ج.متوسط,Installation of additional MV stand off  insulator,EA,132.0,عام
202020101,استبدال حامل عازل ج.منخفض/حامل سلك التأريض,"Replacement of support bracket / rack for LV insulator, including supporting of conductors during bracket replacement or earth wire support bracket / rack",EA,103.0,أعمال التأريض
202020102,استبدال عازل ج.منخفض,"Replacement of LV insulator, including supporting of conductors during the replacement",EA,88.0,الصيانة
202020201,استبدال/تغيير هيكلة ذراع العمود القائم بذراع طرفي أو أفقي أو بدون ذراع,Replacement / changing of an existing pole framing to cantilever / horizontal / armless framing on the same pole with necessary modifications,ASM,324.0,الشبكات الهوائية
202020202,استبدال ذراع حديدي، أي مقاس,"Replacement of an existing cross arm, any size",EA,318.0,الصيانة
202020203,استبدال عازل تعليق رأسي/ جانبي/ مسماري ج.متوسط,Replacement of an existing dameged MV post or stand off or pin insulator,EA,128.0,الصيانة
202020204,استبدال عوازل تعليق رأسي/ جانبي/ مسماري ج.متوسط لجميع الفازات د.مفردة,Replacment of vertical / stand off / pin post insulators  ( all phases ) for an existing framing of MV single circuit ( intermediate/ light angle)  pole  (any size),ST,162.0,الصيانة
202020205,استبدال عوازل تعليق رأسي/ جانبي/ مسماري ج.متوسط لجميع الفازات د.مزدوجة,Replacment of vertical / stand off / pin post insulators  ( all phases ) for an existingframing of MV double circuit ( intermediate/ light angle)  pole  (any size),ST,279.0,الصيانة
202020206,استبدال عوازل شد ج.متوسط للطور الواحد,Replacement of existing string of disc insulators per phase any type / size,ST,152.0,الصيانة
202020207,استبدال مباعد بين موصلات الخطوط الهوائية,Replacement of an existing MV spacer for OH line,EA,175.0,أعمال الكابلات
202020208,استبدال كامل عوازل الشد لعمود جهد متوسط دائرة مفردة,Replacement of all disc insulator/ suspension insulators  (for all phases ) for an existing framing of MV single circuit including replacement of related post inculators for the same framing and re-sagging of conductors,ST,194.0,الشبكات الهوائية
202020209,استبدال كامل عوازل الشد لعمود جهد متوسط دائرة مزدوجة,Replacement of all disc insulator/ suspension insulators  (for all phases ) for an existing framing of MV double circuit  including replacement of related post inculators for the same framing and re-sagging of conductors,ST,229.0,الشبكات الهوائية
202030001,ازالة مباعد بين موصلات الخطوط الهوائية,Removal of an existing MV spacer for OH line,EA,100.0,أعمال الكابلات
202030002,تعديل ذراع حديدي من أي مقاس,"Straightning of an existing leaning cross-arm of any size, including all necessary disconnection of conductors, dismantling, reassembling, reconnection, re-sagging of conductors, bonding, and replacement of brace-arms if required",EA,315.0,عام
202030003,إزالة هيكلة عمود ج. متوسط قائم أي نوع / مقاس لدائرة مفردة,Removal of an existing MV pole framing any size / type for single circuit ( used in case of removal of framing only without the pole ),ASM,162.0,الشبكات الهوائية
202030004,إزالة هيكلة عمود ج. متوسط قائم أي نوع / مقاس لدائرة مزدوجة,Removal of an existing MV pole framing any size / type for double circuit ( used in case of removal of framing only without the pole ),ASM,217.0,الشبكات الهوائية
203010001,تركب شداد في تربة عادية / رملية,Installation of complete stay (one or two wires) with one stay rod in normal / sandy soil,ASM,454.0,الأعمال المدنية
203010002,تركب شداد في تربة صخري,Installation of complete stay (one or two wires) with one stay rod in rocky soil ( that required the use of rocky excavtion equipment ( i.e. Digger )),ASM,631.0,الأعمال المدنية
203010003,تركيب شداد طائر,"Installation of pole – to – pole flying stay, excluding installation of poles and",EA,237.0,الشبكات الهوائية
203010004,تركيب شداد جانبي كامل,Installation of side-walk stay ( stay on arm with an angle of 90 degree),ASM,450.0,الشبكات الهوائية
203010005,تركيب عمود ساند,Installation of complete support pole (push pole) including all related accessories and assemblies fittings,EA,790.0,الشبكات الهوائية
203020001,استبدال الشداد الطائر,"Replacement of an existing pole – to – pole flying stay, excluding replacement of poles and",EA,333.0,الشبكات الهوائية
203020002,استبدال ماسك الشداد/سلك الشداد,Replacement of an existing stay grip / stay wire,EA,152.0,الشبكات الهوائية
203020003,استبدال قضيب شداد بقاعدته,Replacement of stay rod and anchor plate including tying with the existing stay wire,ASM,407.0,الشبكات الهوائية
203030001,إزالة شداد كامل من أي نوع,"Removal of complete stay, any type or removal of pole – to – pole flying stay excluding removal of the pole",EA,145.0,الشبكات الهوائية
203040001,تركيب غطاء عاكس ضوئي للشداد,Installation of stay reflector guard,EA,42.0,الشبكات الهوائية
203040002,توريد وتركيب غطاء عاكس ضوئي للشداد,Supplying and installation of stay reflector guard,EA,91.0,الشبكات الهوائية
203040003,إعادة شد شداد قائم أي نوع,Re-tension of an existing stay ( one or two wires ) any type,EA,156.0,الشبكات الهوائية
204010101,تركيب وشد كابل مجدول د.مفردة ج.منخفض اي مقاس,"Installation and stringing of LV single circuit, quadruplex cable, any size",M,8.0,أعمال الكابلات
204010102,تركيب وشد كابل مجدول د.مزدوجة ج.منخفض اي مقاس,"Installation and stringing of LV double circuit, quadruplex cable, any size",M,10.0,أعمال الكابلات
204010201,استبدال كابل ج.منخفض أي مقاس من المحول لصندوق أو لوحة ج.منخفض,"/Replacement of LV cable ( 4-cores or 4-single core ) of any size, from transformer to LV box  panel,including disconnection/fixing and new lugs works  with the required torque ( excluding new termination",M,100.0,أعمال الكابلات
204010202,استبدال كابل مجدول ج.منخفض أي مقاس,"Replacement of LV quadruplex cable, any size",M,11.0,أعمال الكابلات
204010203,استبدال خط من أربعة موصلات ج.منخفض مفردة,Replacement of four (4) LV insulated single core open wire conductors with same type or by quadruplex cable,M,10.0,أعمال الكابلات
204010301,إزالة أربعة أسلاك معزولة/مجدول د.مفردة ج.منخفض,"Removal of LV four (4) insulated open wire conductors / quadruplex cable for single circuit, any size",M,5.0,عام
204010401,إعادة شد كابل مجدول/اربعة اسلاك معزولة بين عمودين,"Re-sagging of LV quadruplex cable /four (4) insulated open wire conductors ( for each span ) between two poles of an existing LV overhead line, any size",EA,265.0,أعمال الكابلات
204010402,أستبدال موصل ج.منخفض مفرد معزول بآخر مماثل,"Replacement of single and isolated LV conductor, with other of the same type",M,9.0,أعمال الكابلات
