
,,WORKING UNIT RATES - PRICING ATTACHMENT,,,,,RFx NO. 4000083770,,,,
,4000083770,201010110,Breakdown,تركيب عمود حديدي ذاتي الدعم<=15م في تربة صخرية,"Erection of self support steel pole up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))  
  تركيب عمود حديدي ذاتي الدعم حتى ويشمل  15 متر، في تربة صخرية (التي يستخدم فيها معدات الحفر الصخري مثل الدقاق) ",,EA,"1,902.00",SAR,,Unit Rate
,4000083770,201010200,Description,تركيب الأعمدة الخرسانية ,"ERECTION OF CONCRETE POLES  
   Excavation of pits, pole setting, supplying and casting concrete foundation, making coping, as per company specificaions, backfilling,  fixing pole accessories ( numbers, danger and phase plates, barbed wire , Asset tag)) and  necessary reinstatement, excluding ( pole grounding,  stringing / re-sagging of conductors) , Including disconnection / reconnection works 
 تركيب الأعمدة الخرسانية   
  حفر ووضع العمود وتوريد وصب الخرسانة بما فيها أسفل العمود (الفرشة) وعمل حلية العمود حسب مواصفات الشركة  والردم والدك وتركيب ملحقات العمود ( لوحات الأرقام والخطر وعلامات/ترميز الفازات  تعريف الأصول ( باركود ) و سلك شائك (مانع التسلق))  وإعادة الوضع كما كان عليه، البند لا يشمل ( اعمال التأريض و شد / اعادة شد الموصلات )  شاملا أعمال الفصل والتوصيل
",,,,,,
,4000083770,201010201,Breakdown,تركيب عمود خرساني<=10م في تربة عادية/رمليه ,"Erection of concrete pole, up to and including 10 meter, in normal / sandy soil
  تركيب عمود خرساني حتى ويشمل 10متر، في تربة عادية / رمليه",,EA,"1,284.00",SAR,,Unit Rate
,4000083770,201010202,Breakdown,تركيب عمود خرساني<=10م في تربة صخرية,"Erection of concrete  pole, up  to and including 10 meter, in  rocky  soil ( that required the use of rocky excavtion equipment ( ie. Digger )) 
  تركيب عمود خرساني حتى ويشمل 10متر، في تربة صخرية (التي يستخدم فيها معدات الحفر الصخري مثل الدقاق)",,EA,"1,555.00",SAR,,Unit Rate
,4000083770,201010203,Breakdown,تركيب عمود خرساني>10م<= 15م في تربة عادية/رمليه ,"Erection of concrete pole, more than 10 meter up to and including 15 meter, in normal / sandy soil.
 تركيب عمود خرساني أكبر من 10متر حتى ويشمل 15 متر، في تربة عادية / رمليه ",,EA,"1,499.00",SAR,,Unit Rate
,4000083770,201010204,Breakdown,تركيب عمود خرساني>10م<= 15م في تربة صخرية,"Erection of concrete pole, more than 10 meter up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) 
  تركيب عمود خرساني أكبر من 10متر حتى ويشمل 15متر، في تربة صخرية (التي يستخدم فيها معدات الحفر الصخري مثل الدقاق) ",,EA,"1,750.00",SAR,,Unit Rate
,4000083770,201010205,Breakdown,تركيب عمود خرساني>15م<= 25م في تربة عادية/رمليه ,"Erection of concrete pole more than 15 meter up to and including 25 meter in normal / sandy soil 
  تركيب عمود خرساني أكبر من 15متر حتى ويشمل 25 متر، في تربة عادية / رمليه ",,EA,"1,901.00",SAR,,Unit Rate
,4000083770,201010206,Breakdown,تركيب عمود خرساني>15م<= 25م في تربة صخرية,"Erection of concrete pole more than 15 meter up to and including 25 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))
    تركيب عمود خرساني أكبر من 15 متر حتى ويشمل 25 متر، في تربة صخرية (التي يستخدم فيها معدات الحفر الصخري مثل الدقاق)",,EA,"2,248.00",SAR,,Unit Rate
,4000083770,201010300,Description,تركيب اعمدة الفايبر جلاس,"ERECTION OF FIBER GLASS POLES  
    Excavation of pits, pole setting, supplying and casting concrete foundation, making coping, backfilling, tamping, fixing pole accessories ( numbers, danger and  phase  plates, barbed wire,Asset tag) ) as per company specificaions, and necessary reinstatement, excluding pole grounding and stringing / re-sagging of conductors, Including disconnection / reconnection works 
تركيب اعمدة الفايبر جلاس  
  حفر ووضع العمود وتوريد وصب الخرسانة بما فيها أسفل العمود (الفرشة) وعمل حلية العمود والردم والدك، وتركيب ملحقات العمود مثل لوحات الأرقام والخطر وعلامات/ترميز الفازات و سلك شائك ( مانع التسلق ) وتعريف الأصول ( باركود ) حسب مواصفات الشركة ، وإعادة الوضع كما كان عليه، البند لا يشمل اعمال التأريض وشد / اعادة شد الموصلات شاملا أعمال الفصل والتوصيل",,,,,,
,4000083770,201010301,Breakdown, تركيب عمود جهد منخفض فايبر جلاس في تربة عادية/رمليه,"Erection of LV Fiber Glass pole, in normal / sandy soil
  تركيب عمود جهد منخفض نوعية فايبر جلاس ( أعمدة البوليمر المدعمة بالألياف الزجاجية ) في تربة عادية / رمليه",,EA,988.00,SAR,,Unit Rate
