,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Riyadh City Electricity Department
Schedule ""C"" - Pricing Attachment",,,,,,RFx No. 4000069347,,
,,,,,,,,
??? ?????,??? ?????,?????????? ???????,?????????? ?????? ,??????,??????,??? ?????,??? ??????,??????
Item ,Line type ,Short Description ,Long Description,UOM ,Currency,Payment Type,Unit Price           ,QTY
A1,Description,"????? ?????? ????? ???????
","CONSTRUCTION AND MAINTENANCE OF DISTRIBUTION NETWORKS  
   Including providing all necessary manpower, equipment and tools to loading and transporting materials from any designated warehouse by company to work site and perform the work as per the scope of  work and companystandards including getting all required(R.O.W) and permissions to perform the required works and payment of related fees, preparing, updating and submitting of the drawings "" As Built "" on hard and electronic copies, including definition of coordinates, data and photos of related equipment, cables, poles and meters  with at least two digital photos of equpment using SEC unified geographical information system format (ArcGIS/ArcFM) and attributes compatible with Unified Data Model (UDM) and location accuracy of 25 cm and with full compliance of occupational safety and health requirements as per SEC requirments . The statement in this item is applied to all contract items mentioned blow
201020109,Breakdown, ??????? ???? ????? ???? ????? <= 15? ?? ???? ????? / ?????,"Replacement of self support steel pole up to and including 15 meter, in normal / sandy soil including disassembling / dismounting and reinstalling of pole-top assemblies and framing 
 ??????? ???? ????? ???? ????? ??? ????? 15 ???? ?? ???? ????? / ????? ?????? ?? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1462.00,
201020110,Breakdown, ??????? ???? ????? ???? ????? <= 15? ?? ???? ?????,"Replacement of self support steel pole up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including disassembling / dismounting and reinstalling of pole-top assemblies and framing 
 ??????? ???? ????? ???? ????? ??? ????? 15 ???? ?? ???? ????? (???? ?????? ???? ????? ????? ?????? ??? ??????) ?????? ?? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1793.00,
201020111,Breakdown,??????? ???? ???? ????? ?????<= 15? ?? ???? ????? / ?????," Replacement of wooden pole with steel pole up to and including 15 meter, in normal / sandy soil including supplying and casting of the concrete foundation and disassembling / dismounting and reinstalling of pole-top assemblies and framing         
 ??????? ???? ???? ????? ????? ??? ????? 15 ???? ?? ???? ????? / ????? ????? ?????? ?????? ??? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1295.00,
201020112,Breakdown,??????? ???? ???? ????? ?????<= 15? ?? ???? ?????," Replacement of wooden pole with steel pole up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including supplying and casting of the concrete foundation and disassembling / dismounting and reinstalling of pole-top assemblies and framing         
 ??????? ???? ???? ????? ????? ??? ????? 15 ???? ?? ???? ????? (???? ?????? ???? ????? ????? ?????? ??? ??????) ????? ?????? ?????? ??? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1545.00,
201020200,Description,??????? ??????? ??????????,"REPLACEMENT OF OVERHEAD NETWORKS CONCRETE POLES 
??????? ??????? ??????????",,,,,
201020201,Breakdown,??????? ???? ??????<=10? ?? ???? ????? / ?????,"Replacement of concrete pole up to and including 10 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing 
 ??????? ???? ?????? ??? ????? 10??? ?? ???? ????? / ?????? ?????? ?? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1304.00,
201020202,Breakdown,??????? ???? ??????<=10? ?? ???? ?????,"Replacement of concrete pole up to and including 10 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing 
 ??????? ???? ?????? ??? ????? 10??? ?? ???? ????? (???? ?????? ???? ????? ????? ?????? ??? ??????)? ?????? ?? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1512.00,
201020203,Breakdown,??????? ???? ??????>10?<=15? ?? ???? ????? / ????? ,"Replacement of concrete pole above 10 meter up to and including 15 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing.
 ??????? ???? ?????? ???? ?? 10??? ??? ????? 15??? ?? ???? ????? / ?????? ?????? ?? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1442.00,
201020204,Breakdown,??????? ???? ??????>10?<=15? ?? ???? ?????,"Replacement of concrete pole above 10 meter up to and including 15 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing.
 ??????? ???? ?????? ???? ?? 10??? ??? ????? 15??? ?? ???? ????? (???? ?????? ???? ????? ????? ?????? ??? ??????)? ?????? ?? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1692.00,
201020205,Breakdown,??????? ??????????>15?<=25? ?? ???? ????? / ????? ,"Replacement of concrete pole more than 15 meter up to and including 25 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing
  ??????? ???? ?????? ???? ?? 15 ??? ??? ????? 25 ????? ???? ????? / ?????? ?????? ?? ?????? ????? ?????? ?????? ????????",EA,SAR,Unit Rate,1836.00,
